FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2/12/2022 4:21,33.93911,67.709953,169940,7478,,,Afghanistan,436.5457033,4.400376604
,,,Albania,2/12/2022 4:21,41.1533,20.1683,267020,3402,,,Albania,9278.615609,1.274061868
,,,Algeria,2/12/2022 4:21,28.0339,1.6596,260723,6703,,,Algeria,594.5651053,2.570927766
,,,Andorra,2/12/2022 4:21,42.5063,1.5218,37140,148,,,Andorra,48068.33625,0.398492192
,,,Angola,2/12/2022 4:21,-11.2027,17.8739,98501,1898,,,Angola,299.7024183,1.926883991
,,,Antarctica,2/12/2022 4:21,-71.9499,23.347,11,0,,,Antarctica,,0
,,,Antigua and Barbuda,2/12/2022 4:21,17.0608,-61.7964,7331,134,,,Antigua and Barbuda,7486.112246,1.827854317
,,,Argentina,2/12/2022 4:21,-38.4161,-63.6167,8716940,123859,,,Argentina,19287.06746,1.420899995
,,,Armenia,2/12/2022 4:21,40.0691,45.0382,402403,8145,,,Armenia,13579.85903,2.024090278
,,Australian Capital Territory,Australia,2/12/2022 4:21,-35.4735,149.0124,40946,31,,,"Australian Capital Territory, Australia",9564.587713,0.075709471
,,New South Wales,Australia,2/12/2022 4:21,-33.8688,151.2093,1191283,1691,,,"New South Wales, Australia",14674.58734,0.141947799
,,Northern Territory,Australia,2/12/2022 4:21,-12.4634,130.8456,29230,7,,,"Northern Territory, Australia",11901.4658,0.023947999
,,Queensland,Australia,2/12/2022 4:21,-27.4698,153.0251,487846,367,,,"Queensland, Australia",9536.623986,0.075228658
,,South Australia,Australia,2/12/2022 4:21,-34.9285,138.6007,121701,148,,,"South Australia, Australia",6928.608027,0.121609518
,,Tasmania,Australia,2/12/2022 4:21,-42.8821,147.3272,34508,23,,,"Tasmania, Australia",6444.070962,0.066651211
,,Victoria,Australia,2/12/2022 4:21,-37.8136,144.9631,969033,2266,,,"Victoria, Australia",14616.10281,0.233841366
,,Western Australia,Australia,2/12/2022 4:21,-31.9505,115.8605,2140,10,,,"Western Australia, Australia",81.3502623,0.46728972
,,,Austria,2/12/2022 4:21,47.5162,14.5501,2217585,14337,,,Austria,24622.32413,0.646514113
,,,Azerbaijan,2/12/2022 4:21,40.1431,47.5769,732380,8998,,,Azerbaijan,7223.270138,1.228597176
,,,Bahamas,2/12/2022 4:21,25.025885,-78.035889,32903,757,,,Bahamas,8366.984702,2.300702064
,,,Bahrain,2/12/2022 4:21,26.0275,50.55,453916,1421,,,Bahrain,26676.10102,0.313053517
,,,Bangladesh,2/12/2022 4:21,23.685,90.3563,1899803,28771,,,Bangladesh,1153.56738,1.514420179
,,,Barbados,2/12/2022 4:21,13.1939,-59.5432,50880,291,,,Barbados,17705.33561,0.571933962
,,,Belarus,2/12/2022 4:21,53.7098,27.9534,814262,6221,,,Belarus,8617.148259,0.764004706
,,Antwerp,Belgium,2/12/2022 4:21,51.2195,4.4024,508397,0,,,"Antwerp, Belgium",27362.80037,0
,,Brussels,Belgium,2/12/2022 4:21,50.8503,4.3517,401821,0,,,"Brussels, Belgium",33248.41007,0
,,East Flanders,Belgium,2/12/2022 4:21,51.0362,3.7373,436518,0,,,"East Flanders, Belgium",28811.85217,0
,,Flemish Brabant,Belgium,2/12/2022 4:21,50.9167,4.5833,312390,0,,,"Flemish Brabant, Belgium",27255.00033,0
,,Hainaut,Belgium,2/12/2022 4:21,50.5257,4.0621,403579,0,,,"Hainaut, Belgium",30022.81585,0
,,Liege,Belgium,2/12/2022 4:21,50.4496,5.8492,336939,0,,,"Liege, Belgium",30437.34733,0
,,Limburg,Belgium,2/12/2022 4:21,50.9739,5.342,238395,0,,,"Limburg, Belgium",27274.81786,0
,,Luxembourg,Belgium,2/12/2022 4:21,50.0547,5.4677,90037,0,,,"Luxembourg, Belgium",31632.10815,0
,,Namur,Belgium,2/12/2022 4:21,50.331,4.8221,156101,0,,,"Namur, Belgium",31578.61731,0
,,Unknown,Belgium,2/12/2022 4:21,,,50653,29624,,,"Unknown, Belgium",,58.4841964
,,Walloon Brabant,Belgium,2/12/2022 4:21,50.4,4.35,131156,0,,,"Walloon Brabant, Belgium",32496.61174,0
,,West Flanders,Belgium,2/12/2022 4:21,51.0536,3.1458,355095,0,,,"West Flanders, Belgium",29695.28247,0
,,,Belize,2/12/2022 4:21,17.1899,-88.4976,55183,631,,,Belize,13878.29114,1.143468097
,,,Benin,2/12/2022 4:21,9.3077,2.3158,26552,163,,,Benin,219.0181172,0.613889726
,,,Bhutan,2/12/2022 4:21,27.5142,90.4336,6964,5,,,Bhutan,902.5261401,0.071797817
,,,Bolivia,2/12/2022 4:21,-16.2902,-63.5887,880891,21240,,,Bolivia,7546.378922,2.411195029
,,,Bosnia and Herzegovina,2/12/2022 4:21,43.9159,17.6791,362527,14984,,,Bosnia and Herzegovina,11049.90681,4.133209389
,,,Botswana,2/12/2022 4:21,-22.3285,24.6849,259655,2597,,,Botswana,11041.51385,1.000173307
,,Acre,Brazil,2/12/2022 4:21,-9.0238,-70.812,110373,1914,,,"Acre, Brazil",12514.86788,1.734119758
,,Alagoas,Brazil,2/12/2022 4:21,-9.5713,-36.782,276152,6509,,,"Alagoas, Brazil",8274.571764,2.357035256
,,Amapa,Brazil,2/12/2022 4:21,0.902,-52.003,158926,2076,,,"Amapa, Brazil",18791.55429,1.306268326
,,Amazonas,Brazil,2/12/2022 4:21,-3.4168,-65.8561,559654,14059,,,"Amazonas, Brazil",13503.21877,2.512087826
,,Bahia,Brazil,2/12/2022 4:21,-12.5797,-41.7007,1444048,28448,,,"Bahia, Brazil",9709.149372,1.970017617
,,Ceara,Brazil,2/12/2022 4:21,-5.4984,-39.3206,1198953,25726,,,"Ceara, Brazil",13129.02715,2.145705461
,,Distrito Federal,Brazil,2/12/2022 4:21,-15.7998,-47.8645,656406,11280,,,"Distrito Federal, Brazil",21769.40823,1.718448643
,,Espirito Santo,Brazil,2/12/2022 4:21,-19.1834,-40.3089,974892,13820,,,"Espirito Santo, Brazil",24259.19152,1.417592923
,,Goias,Brazil,2/12/2022 4:21,-15.827,-49.8362,1101952,25315,,,"Goias, Brazil",15701.0034,2.297286996
,,Maranhao,Brazil,2/12/2022 4:21,-4.9609,-45.2744,399650,10588,,,"Maranhao, Brazil",5648.618742,2.649318153
,,Mato Grosso,Brazil,2/12/2022 4:21,-12.6819,-56.9211,672298,14511,,,"Mato Grosso, Brazil",19294.14722,2.158417844
,,Mato Grosso do Sul,Brazil,2/12/2022 4:21,-20.7722,-54.7852,456351,10071,,,"Mato Grosso do Sul, Brazil",16421.49331,2.206853935
,,Minas Gerais,Brazil,2/12/2022 4:21,-18.5122,-44.555,2982471,58346,,,"Minas Gerais, Brazil",14089.00017,1.956297312
,,Para,Brazil,2/12/2022 4:21,-1.9981,-54.9306,681543,17534,,,"Para, Brazil",7922.27938,2.572691672
,,Paraiba,Brazil,2/12/2022 4:21,-7.24,-36.782,535481,9914,,,"Paraiba, Brazil",13326.63204,1.851419565
,,Parana,Brazil,2/12/2022 4:21,-25.2521,-52.0215,2169873,41685,,,"Parana, Brazil",18977.44587,1.921080174
,,Pernambuco,Brazil,2/12/2022 4:21,-8.8137,-36.9541,754321,20808,,,"Pernambuco, Brazil",7892.805233,2.75850732
,,Piaui,Brazil,2/12/2022 4:21,-7.7183,-42.7289,356816,7526,,,"Piaui, Brazil",10901.04658,2.109210349
,,Rio Grande do Norte,Brazil,2/12/2022 4:21,-5.4026,-36.9541,453703,7873,,,"Rio Grande do Norte, Brazil",12937.61101,1.735276161
,,Rio Grande do Sul,Brazil,2/12/2022 4:21,-30.0346,-51.2177,1997297,37479,,,"Rio Grande do Sul, Brazil",17555.19946,1.876486071
,,Rio de Janeiro,Brazil,2/12/2022 4:21,-22.9068,-43.1729,1905090,70668,,,"Rio de Janeiro, Brazil",11034.4413,3.709431051
,,Rondonia,Brazil,2/12/2022 4:21,-11.5057,-63.5806,346227,6896,,,"Rondonia, Brazil",19481.32622,1.991756853
,,Roraima,Brazil,2/12/2022 4:21,-2.7376,-62.0751,147675,2112,,,"Roraima, Brazil",24378.42648,1.430167598
,,Santa Catarina,Brazil,2/12/2022 4:21,-27.2423,-50.2189,1536862,20954,,,"Santa Catarina, Brazil",21450.20899,1.363427556
,,Sao Paulo,Brazil,2/12/2022 4:21,-23.5505,-46.6333,4821893,161156,,,"Sao Paulo, Brazil",10500.85554,3.342172877
,,Sergipe,Brazil,2/12/2022 4:21,-10.5741,-37.3857,312522,6160,,,"Sergipe, Brazil",13595.62117,1.971061237
,,Tocantins,Brazil,2/12/2022 4:21,-10.1753,-48.2982,287907,4039,,,"Tocantins, Brazil",18304.61082,1.40288357
,,,Brunei,2/12/2022 4:21,4.5353,114.7277,20454,98,,,Brunei,4675.381672,0.479123888
,,,Bulgaria,2/12/2022 4:21,42.7339,25.4858,1031660,34314,,,Bulgaria,14847.35074,3.326095807
,,,Burkina Faso,2/12/2022 4:21,12.2383,-1.5616,20699,375,,,Burkina Faso,99.02274658,1.811681724
,,,Burma,2/12/2022 4:21,21.9162,95.956,543511,19310,,,Burma,998.9212604,3.552825978
,,,Burundi,2/12/2022 4:21,-3.3731,29.9189,37856,38,,,Burundi,318.3642857,0.100380389
,,,Cabo Verde,2/12/2022 4:21,16.5388,-23.0418,55833,398,,,Cabo Verde,10042.12321,0.712840077
,,,Cambodia,2/12/2022 4:21,11.55,104.9167,122742,3015,,,Cambodia,734.1480525,2.456371902
,,,Cameroon,2/12/2022 4:21,3.848,11.5021,118675,1915,,,Cameroon,447.0564605,1.613650727
,,Alberta,Canada,2/12/2022 4:21,53.9333,-116.5765,514165,3741,,,"Alberta, Canada",11650.75889,0.727587448
,,British Columbia,Canada,2/12/2022 4:21,53.7267,-127.6476,338585,2747,,,"British Columbia, Canada",6624.740727,0.81131769
,,Diamond Princess,Canada,12/21/2020 13:27,,,0,1,,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,12/21/2020 13:27,,,13,0,,,"Grand Princess, Canada",,0
,,Manitoba,Canada,2/12/2022 4:21,53.7609,-98.8139,125844,1619,,,"Manitoba, Canada",9135.567837,1.286513461
,,New Brunswick,Canada,2/12/2022 4:21,46.5653,-66.4619,32307,282,,,"New Brunswick, Canada",4141.960248,0.872875847
,,Newfoundland and Labrador,Canada,2/12/2022 4:21,53.1355,-57.6604,19710,52,,,"Newfoundland and Labrador, Canada",3780.460906,0.263825469
,,Northwest Territories,Canada,2/12/2022 4:21,64.8255,-124.8457,7343,17,,,"Northwest Territories,Canada",16352.66346,0.231513006
,,Nova Scotia,Canada,2/12/2022 4:21,44.682,-63.7443,41716,167,,,"Nova Scotia, Canada",4267.809223,0.400326014
,,Nunavut,Canada,2/12/2022 4:21,70.2998,-83.1076,2114,5,,,"Nunavut, Canada",5451.263538,0.236518448
,,Ontario,Canada,2/12/2022 4:21,51.2538,-85.3232,1067511,12040,,,"Ontario, Canada",7256.141606,1.127857231
,,Prince Edward Island,Canada,2/12/2022 4:21,46.5107,-63.4168,9969,13,,,"Prince Edward Island, Canada",6303.19048,0.130404253
,,Quebec,Canada,2/12/2022 4:21,52.9399,-73.5491,891949,13656,,,"Quebec, Canada",10447.21314,1.53102924
,,Repatriated Travellers,Canada,2/12/2022 4:21,,,13,0,,,"Repatriated Travellers, Canada",,0
,,Saskatchewan,Canada,2/12/2022 4:21,52.9399,-106.4509,123258,1012,,,"Saskatchewan, Canada",10430.86625,0.821042042
,,Yukon,Canada,2/12/2022 4:21,64.2823,-135,3302,20,,,"Yukon, Canada",8038.366035,0.605693519
,,,Central African Republic,2/12/2022 4:21,6.6111,20.9394,14154,111,,,Central African Republic,293.0577974,0.784230606
,,,Chad,2/12/2022 4:21,15.4542,18.7322,7216,190,,,Chad,43.93073142,2.633037694
,,Antofagasta,Chile,2/12/2022 4:21,-23.6509,-70.3975,104734,1343,,,"Antofagasta, Chile",17239.19978,1.282296103
,,Araucania,Chile,2/12/2022 4:21,-38.9489,-72.3311,145086,1602,,,"Araucania, Chile",15156.95386,1.104172698
,,Arica y Parinacota,Chile,2/12/2022 4:21,-18.594,-69.4785,48867,588,,,"Arica y Parinacota, Chile",21616.06242,1.203266008
,,Atacama,Chile,2/12/2022 4:21,-27.5661,-70.0503,46206,398,,,"Atacama, Chile",15991.33396,0.861359997
,,Aysen,Chile,2/12/2022 4:21,-45.9864,-73.7669,16753,109,,,"Aysen, Chile",16240.13649,0.650629738
,,Biobio,Chile,2/12/2022 4:21,-37.4464,-72.1416,220299,2982,,,"Biobio, Chile",14150.71252,1.35361486
,,Coquimbo,Chile,2/12/2022 4:21,-29.959,-71.3389,86629,1156,,,"Coquimbo, Chile",11434.8734,1.334426116
,,Los Lagos,Chile,2/12/2022 4:21,-41.9198,-72.1416,129007,1599,,,"Los Lagos, Chile",15567.24443,1.239467626
,,Los Rios,Chile,2/12/2022 4:21,-40.231,-72.3311,72253,765,,,"Los Rios, Chile",18774.96187,1.058779566
,,Magallanes,Chile,2/12/2022 4:21,-52.368,-70.9863,42947,540,,,"Magallanes, Chile",25788.88268,1.257363727
,,Maule,Chile,2/12/2022 4:21,-35.5183,-71.6885,143770,1912,,,"Maule, Chile",13758.55304,1.329901927
,,Metropolitana,Chile,2/12/2022 4:21,-33.4376,-70.6505,1046427,20332,,,"Metropolitana, Chile",14711.86907,1.942992679
,,Nuble,Chile,2/12/2022 4:21,-36.7226,-71.7622,58658,706,,,"Nuble, Chile",12204.93166,1.203586894
,,OHiggins,Chile,2/12/2022 4:21,-34.5755,-71.0022,99167,1670,,,"OHiggins, Chile",10843.19696,1.684027953
,,Tarapaca,Chile,2/12/2022 4:21,-19.9232,-69.5132,73848,909,,,"Tarapaca, Chile",22340.40622,1.230906727
